hub,total_trips,breach_trips,breach_rate,avg_delay_ratio,bottleneck_score,betweenness,pagerank,breach_trips_monthly,breach_cost_monthly,revenue_at_risk_monthly,total_impact_monthly
IND000000ACB,16254,13338,0.8205980066445183,1.865432232624626,0.8619839781925946,0.3727147589506656,0.009253954105264969,13338.0,6669000.0,3001050.0,9670050.0
IND562132AAA,7325,5965,0.8143344709897611,1.7551346885994898,0.658607439600054,0.24851440655564366,0.009518643063114415,5965.0,2982500.0,1342125.0,4324625.0
IND421302AAG,6331,5771,0.9115463591849629,2.0998444997148367,0.3785830791155973,0.07404273828436846,0.005897842131567229,5771.0,2885500.0,1298475.0,4183975.0
IND411033AAA,3312,2718,0.8206521739130435,1.8828157022926952,0.35202503083334563,0.0964049696008459,0.00636668609657814,2718.0,1359000.0,611550.0,1970550.0
IND501359AAE,2536,2268,0.8943217665615142,1.9243789066226265,0.4580352316082073,0.09849909425815366,0.009446632565661788,2268.0,1134000.0,510300.0,1644300.0
